"filename", "language", "JSON", "Dockerfile", "YAML", "Properties", "JavaScript", "XML", "Markdown", "C#", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\.editorconfig", "Properties", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\Dockerfile", "Dockerfile", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\angular.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 125
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 2, 32
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\karma.conf.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 2, 33
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\package-lock.json", "JSON", 13447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13448
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_models\photo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_resolvers\member-detail.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_resolvers\member-edit.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 5, 28
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_resolvers\member-list.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\alertify.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 8, 36
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\error.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 3, 49
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\user.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
